Feature,Importance_Mean,Importance_SD
status,0.06664380952380951,0.019647101163453664
amount,0.018285714285714273,0.009370375473156724
purpose,0.01465142857142856,0.014771800799706646
duration,0.01343238095238094,0.005482226404409631
installment_rate,0.011291428571428563,0.007123120924193264
savings,0.010354285714285694,0.016323921097579467
employment_duration,0.00659047619047618,0.0051026292631177125
credit_history,0.006308571428571397,0.006299233945434944
other_debtors,0.005645714285714254,0.0037001361744874372
housing,0.004815238095238083,0.002661829626676218
foreign_worker,0.0015542857142857303,0.005584631974061866
number_credits,-0.00019047619047618536,0.003512909783554406
age,-0.00023619047619047873,0.0013980277653369468
people_liable,-0.000312380952380964,0.0007862399396051974
personal_status_sex,-0.0004342857142857315,0.005101810091835235
job,-0.0008914285714285985,0.003989799237954672
telephone,-0.0018895238095238075,0.004023809411101685
other_installment_plans,-0.0021257142857142976,0.004169568622091628
present_residence,-0.003680000000000028,0.0016087019598002043
property,-0.003977142857142846,0.0027943941291007635
