Feature,Importance_Mean,Importance_SD
PAY_0,0.10843687330492724,0.004828194677495442
BILL_AMT1,0.016137302985618683,0.002689797673657128
PAY_AMT1,0.005725794226115933,0.0011107476476216003
LIMIT_BAL,0.005623330081600764,0.001046567813778778
PAY_AMT2,0.00458874046087081,0.0010892583989371718
MARRIAGE,0.0036747931083909503,0.0008799568385892836
EDUCATION,0.0026611163277113327,0.0015758600744353994
BILL_AMT3,0.002436766392998835,0.0010084638347840518
PAY_2,0.0023488426835347243,0.0012712963629918131
BILL_AMT5,0.00229360141396171,0.0008780621102488352
SEX,0.0019669730890497948,0.0007100848252367457
PAY_3,0.0016535642796100757,0.0010613855408533304
AGE,0.0011299693020353052,0.0004831874364967706
PAY_AMT4,0.0009336011910565878,0.0006599621767170807
BILL_AMT2,0.0007209331388690954,0.00041959534474814695
BILL_AMT6,0.0006809340428734712,0.0006691437608323505
PAY_AMT6,0.0003424999992259092,0.00041984891236014865
PAY_AMT3,0.00026716630449722387,0.00019566088848710665
PAY_AMT5,0.0001768071495596768,0.00012404689726592383
PAY_6,0.00015926368640371003,7.584047209886157e-05
BILL_AMT4,7.407469325502181e-05,0.00017471501978199734
PAY_5,-6.556095378247306e-05,4.0300898450265585e-05
PAY_4,-9.949207546299244e-05,0.0005398241639411478
